Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa
04478,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MARANHÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/4318,10/2018,MARANHÃO,IBOPE
04479,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MT,https://www.cesop.unicamp.br/por/banco_de_dados/v/4319,08/2018,MATO GROSSO,IBOPE
04480,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MT,https://www.cesop.unicamp.br/por/banco_de_dados/v/4320,09/2018,MATO GROSSO,IBOPE
04481,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MT,https://www.cesop.unicamp.br/por/banco_de_dados/v/4321,10/2018,MATO GROSSO,IBOPE
04482,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MS,https://www.cesop.unicamp.br/por/banco_de_dados/v/4322,08/2018,MATO GROSSO DO SUL,IBOPE
04483,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MS,https://www.cesop.unicamp.br/por/banco_de_dados/v/4323,09/2018,MATO GROSSO DO SUL,IBOPE
04484,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MS,https://www.cesop.unicamp.br/por/banco_de_dados/v/4324,09/2018,MATO GROSSO DO SUL,IBOPE
04485,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MS,https://www.cesop.unicamp.br/por/banco_de_dados/v/4325,10/2018,MATO GROSSO DO SUL,IBOPE
04486,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MS,https://www.cesop.unicamp.br/por/banco_de_dados/v/4462,10/2018,MATO GROSSO DO SUL,IBOPE
04487,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4327,08/2018,MINAS GERAIS/MG,IBOPE
04488,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4328,09/2018,MINAS GERAIS/MG,IBOPE
04489,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4329,09/2018,MINAS GERAIS/MG,IBOPE
04490,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4334,09/2018,MINAS GERAIS/MG,IBOPE
04491,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4330,09/2018,MINAS GERAIS/MG,IBOPE
04492,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4331,10/2018,MINAS GERAIS/MG,IBOPE
04493,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4332,10/2018,MINAS GERAIS/MG,IBOPE
04494,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4335,10/2018,MINAS GERAIS/MG,IBOPE
04495,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ MG,https://www.cesop.unicamp.br/por/banco_de_dados/v/4336,10/2018,MINAS GERAIS/MG,IBOPE
04496,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4337,08/2018,PARÁ,IBOPE
04497,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4338,09/2018,PARÁ,IBOPE
04498,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4339,10/2018,PARÁ,IBOPE
04499,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4340,10/2018,PARÁ,IBOPE
04500,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4341,10/2018,PARÁ,IBOPE
04501,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PB,https://www.cesop.unicamp.br/por/banco_de_dados/v/4342,08/2018,PARAÍBA,IBOPE
04502,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PB,https://www.cesop.unicamp.br/por/banco_de_dados/v/4343,09/2018,PARAÍBA,IBOPE
04503,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PB,https://www.cesop.unicamp.br/por/banco_de_dados/v/4344,10/2018,PARAÍBA,IBOPE
04504,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PARANÁ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4345,08/2018,PARANÁ,IBOPE
04505,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PARANÁ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4346,08/2018,PARANÁ,IBOPE
04506,INTENÇÃO DE VOTO/ AVALIAÇÃO DE GOVERNO FEDERAL E ESTADUAL/ PARANÁ,https://www.cesop.unicamp.br/por/banco_de_dados/v/4347,09/2018,PARANÁ,IBOPE
