Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa,contém_religião,método
2088,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2159,10/2004,TERESINA/PI,IBOPE,,
2089,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1982,02/2004,NOVA IGUAÇU/RJ,IBOPE,,
2090,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1983,02/2004,VOLTA REDONDA/RJ,IBOPE,,
2091,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1984,03/2004,BARRA MANSA/RJ,IBOPE,,
2092,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1985,04/2004,NOVA FRIBURGO/RJ,IBOPE,,
2093,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1986,06/2004,RIO DE JANEIRO/CAP,IBOPE,,
2094,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1987,07/2004,QUISSAMÃ/RJ,IBOPE,,
2095,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1988,07/2004,CAMPOS DOS GOYTACAZES/RJ,IBOPE,,
2096,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1989,07/2004,RIO DE JANEIRO/CAP,IBOPE,,
2097,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1990,07/2004,SANTO ANTÔNIO DE PÁDUA/RJ,IBOPE,,
2098,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1991,08/2004,NITERÓI/RJ,IBOPE,,
2099,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1992,08/2004,SÃO GONÇALO/RJ,IBOPE,,
2100,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1993,08/2004,NOVA IGUAÇU/RJ,IBOPE,,
2101,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1994,08/2004,DUQUE DE CAXIAS/RJ,IBOPE,,
2102,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1995,08/2004,MACAÉ/RJ,IBOPE,,
2103,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1996,08/2004,BARRA MANSA/RJ,IBOPE,,
2104,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2164,08/2004,RIO DE JANEIRO/CAP,IBOPE,,
2105,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1997,09/2004,NITERÓI/RJ,IBOPE,,
2106,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1998,09/2004,NOVA IGUAÇU/RJ,IBOPE,,
2107,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1999,09/2004,CAMPOS DOS GOYTACAZES/RJ,IBOPE,,
2108,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2000,09/2004,SAQUAREMA/RJ,IBOPE,,
2109,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2001,09/2004,RIO DAS OSTRAS/RJ,IBOPE,,
2110,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2002,09/2004,SÃO GONÇALO/RJ,IBOPE,,
2111,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2003,09/2004,DUQUE DE CAXIAS/RJ,IBOPE,,
2112,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2004,09/2004,VOLTA REDONDA/RJ,IBOPE,,
2113,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2005,09/2004,CABO FRIO/RJ,IBOPE,,
2114,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2006,09/2004,NILÓPOLIS/RJ,IBOPE,,
2115,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2007,09/2004,RIO DE JANEIRO/CAP,IBOPE,,
2116,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2008,09/2004,PETRÓPOLIS/RJ,IBOPE,,
2117,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2009,09/2004,QUISSAMÃ/RJ,IBOPE,,
2118,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2010,09/2004,ARMAÇÃO DE BÚZIOS/RJ,IBOPE,,
2119,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2161,09/2004,CAMPOS DOS GOYTACAZES/RJ,IBOPE,,
2120,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2011,09/2004,CABO FRIO/RJ,IBOPE,,
2121,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2012,09/2004,SÃO PEDRO DA ALDEIA/RJ,IBOPE,,
2122,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2013,09/2004,NOVA IGUAÇU/RJ,IBOPE,,
2123,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2014,09/2004,RIO DE JANEIRO/CAP,IBOPE,,
2124,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2015,09/2004,DUQUE DE CAXIAS/RJ,IBOPE,,
2125,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2016,09/2004,SÃO GONÇALO/RJ,IBOPE,,
2126,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2017,09/2004,NITERÓI/RJ,IBOPE,,
2127,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2018,09/2004,RIO DE JANEIRO/CAP,IBOPE,,
2128,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2019,10/2004,SÃO JOÃO DE MERITI/RJ,IBOPE,,
2129,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2020,10/2004,DUQUE DE CAXIAS/RJ,IBOPE,,
2130,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2021,09/2004,NITERÓI/RJ,IBOPE,,
2131,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2022,10/2004,NOVA IGUAÇU/RJ,IBOPE,,
2132,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2023,10/2004,DUQUE DE CAXIAS/RJ,IBOPE,,
2133,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2024,08/2004,NATAL/RN,IBOPE,,
2134,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2025,09/2004,NATAL/RN,IBOPE,,
2135,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2026,09/2004,NATAL/RN,IBOPE,,
2136,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2027,10/2004,NATAL/RN,IBOPE,,
2137,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2028,10/2004,NATAL/RN,IBOPE,,
2138,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2029,07/2004,PORTO VELHO/RO,IBOPE,,
2139,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2030,08/2004,PORTO VELHO/RO,IBOPE,,
2140,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2031,09/2004,PORTO VELHO/RO,IBOPE,,
2141,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2032,07/2004,BOA VISTA/RR,IBOPE,,
2142,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2033,08/2004,BOA VISTA/RR,IBOPE,,
2143,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2034,09/2004,BOA VISTA/RR,IBOPE,,
2144,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2035,06/2004,PORTO ALEGRE/RS,IBOPE,,
2145,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2036,07/2004,PORTO ALEGRE/RS,IBOPE,,
2146,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2037,08/2004,CAXIAS DO SUL/RS,IBOPE,,
2147,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2038,08/2004,PORTO ALEGRE/RS,IBOPE,,
2148,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2039,09/2004,CAXIAS DO SUL/RS,IBOPE,,
2149,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2040,09/2004,PORTO ALEGRE/RS,IBOPE,,
2150,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2041,09/2004,CAXIAS DO SUL/RS,IBOPE,,
2151,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2042,09/2004,PORTO ALEGRE/RS,IBOPE,,
2152,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2043,10/2004,PORTO ALEGRE/RS,IBOPE,,
2153,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2044,07/2004,FLORIANÓPOLIS/SC,IBOPE,,
2154,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1944,07/2004,JOINVILLE/SC,IBOPE,,
2155,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2045,07/2004,FLORIANÓPOLIS/SC,IBOPE,,
2156,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1945,09/2004,JOINVILLE/SC,IBOPE,,
2157,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1946,09/2004,FLORIANÓPOLIS/SC,IBOPE,,
2158,INTENÇÃO DE VOTO PARA PREFEITO JOINVILLE,https://www.cesop.unicamp.br/por/banco_de_dados/v/1947,09/2004,JOINVILLE/SC,IBOPE,,
2159,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2046,10/2004,FLORIANÓPOLIS/SC,IBOPE,,
2160,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2047,10/2004,FLORIANÓPOLIS/SC,IBOPE,,
2161,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1507,10/2004,FLORIANÓPOLIS/SC,IBOPE,,
2162,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1548,08/2004,ARACAJU/SE,IBOPE,,
2163,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1948,09/2004,ARACAJU/SE,IBOPE,,
2165,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/145,03/2004,SÃO VICENTE/SP,IBOPE,,
2166,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1753,04/2004,BARUERI/SP,IBOPE,,
2167,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2160,05/2004,SÃO CARLOS/SP,IBOPE,,
2168,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1478,06/2004,INDAIATUBA/SP,IBOPE,,
2169,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1949,07/2004,TABOÃO DA SERRA/SP,IBOPE,,
2170,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1950,06/2004,SÃO PAULO/CAP,IBOPE,,
2171,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1544,06/2004,MOGI DAS CRUZES/SP,IBOPE,,
2172,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1951,06/2004,SÃO PAULO/CAP,IBOPE,,
2173,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1952,07/2004,SÃO JOSÉ DOS CAMPOS/SP,IBOPE,,
2174,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1953,07/2004,TAUBATÉ/SP,IBOPE,,
2175,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1954,07/2004,RIBEIRÃO PRETO/SP,IBOPE,,
2176,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1955,07/2004,CAMPINAS/SP,IBOPE,,
2177,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1956,07/2004,SÃO PAULO/CAP,IBOPE,,
2178,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1957,08/2004,PAULÍNIA/SP,IBOPE,,
2179,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1958,08/2004,CUBATÃO/SP,IBOPE,,
2180,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1959,08/2004,SÃO BERNARDO DO CAMPO/SP,IBOPE,,
2181,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1960,08/2004,GUARULHOS/SP,IBOPE,,
2182,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1961,08/2004,SÃO VICENTE/SP,IBOPE,,
2183,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1962,08/2004,SANTOS/SP,IBOPE,,
2184,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1963,08/2004,REGISTRO/SP,IBOPE,,
2185,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2048,08/2004,MOGI DAS CRUZES/SP,IBOPE,,
2186,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2049,08/2004,GUARUJÁ/SP,IBOPE,,
2187,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2050,08/2004,OSASCO/SP,IBOPE,,
2188,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2051,08/2004,RIBEIRÃO PRETO/SP,IBOPE,,
2189,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2052,08/2004,CAMPINAS/SP,IBOPE,,
2190,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2053,08/2004,ITAPETININGA/SP,IBOPE,,
2191,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2054,08/2004,PRAIA GRANDE/SP,IBOPE,,
2192,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2055,08/2004,SÃO JOSÉ DO RIO PRETO/SP,IBOPE,,
2193,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2056,08/2004,SÃO CARLOS/SP,IBOPE,,
2194,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2057,08/2004,ARARAQUARA/SP,IBOPE,,
2196,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2058,08/2004,RIO CLARO/SP,IBOPE,,
2197,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2059,08/2004,PRESIDENTE PRUDENTE/SP,IBOPE,,
2198,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2060,08/2004,FRANCA/SP,IBOPE,,
2199,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2061,08/2004,BAURU/SP,IBOPE,,
2200,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2062,08/2004,PIRACICABA/SP,IBOPE,,
2201,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2063,08/2004,SÃO JOSÉ DOS CAMPOS/SP,IBOPE,,
2202,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2064,08/2004,SÃO PAULO/CAP,IBOPE,,
2204,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2065,08/2004,TAUBATÉ/SP,IBOPE,,
2206,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2066,09/2004,GUARULHOS/SP,IBOPE,,
2207,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2067,09/2004,SÃO BERNARDO DO CAMPO/SP,IBOPE,,
2209,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2068,09/2004,CUBATÃO/SP,IBOPE,,
2210,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS/ ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/2069,09/2004,SÃO VICENTE/SP,IBOPE,,
