Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa,contém_religião,método
150,AVALIAÇÃO MAÍLSON/ SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/369,12/1988,CAPITAIS (VÁRIAS),DATAFOLHA,,
151,VOTO JOVEM I - PRESIDENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/370,12/1988,CAPITAIS (VÁRIAS),DATAFOLHA,,
153,PLANO ECONÔMICO - CHOQUE VERÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/372,01/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
154,PLANO ECONÔMICO - CHOQUE VERÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/373,01/1989,BRASIL,DATAFOLHA,,
155,PLANO ECONÔMICO - CHOQUE VERÃO (1 MÊS),https://www.cesop.unicamp.br/por/banco_de_dados/v/374,02/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,,
157,HORÁRIO POLÍTICO NA TV / VOZ DO BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/375,02/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,,
158,DELEGADOS A CONVENÇÃO PMDB EM BRASÍLIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/376,03/1989,BRASÍLIA/DF,DATAFOLHA,,
159,PLANO ECONÔMICO - CHOQUE VERÃO (2 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/377,03/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
160,PLANO ECONÔMICO - CHOQUE VERÃO (2 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/378,03/1989,RIO DE JANEIRO-CAP/RJ,DATAFOLHA,,
161,SHOPPING AOS DOMINGOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/379,03/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
162,25 ANOS DO MOVIMENTO MILITAR DE 64,https://www.cesop.unicamp.br/por/banco_de_dados/v/380,03/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
163,AVALIAÇÃO PREFEITOS (3 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/381,04/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
164,PLANO ECONÔMICO - CHOQUE VERÃO (3 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/382,04/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,,
165,AVALIAÇÃO GOVERNADOR ALAGOAS / COLLOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/383,04/1989,ALAGOAS/AL,DATAFOLHA,,
167,PLANO ECONÔMICO - CHOQUE VERÃO (4 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/385,05/1989,SÃO PAULO-CAP/SP E RIO DE JANEIRO-CAP/RJ,DATAFOLHA,,
168,SALÁRIO MÍNIMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/386,05/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
169,DIVULGAÇÃO DA PESQUISA ELEITORAL II,https://www.cesop.unicamp.br/por/banco_de_dados/v/387,05/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
170,POPULARIZAÇÃO DA ECONOMIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/388,06/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
172,SERVIÇO MILITAR,https://www.cesop.unicamp.br/por/banco_de_dados/v/390,06/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
173,AVALIAÇÃO PREFEITOS (6 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/391,06/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
174,VOTO NACIONAL I,https://www.cesop.unicamp.br/por/banco_de_dados/v/392,07/1989,BRASIL,IBOPE,,
175,VOTO NACIONAL II,https://www.cesop.unicamp.br/por/banco_de_dados/v/393,07/1989,BRASIL,IBOPE,,
176,VOTO NACIONAL III,https://www.cesop.unicamp.br/por/banco_de_dados/v/396,08/1989,BRASIL,IBOPE,,
177,VOTO NACIONAL IV,https://www.cesop.unicamp.br/por/banco_de_dados/v/401,08/1989,BRASIL,IBOPE,,
178,VOTO NACIONAL V,https://www.cesop.unicamp.br/por/banco_de_dados/v/402,08/1989,BRASIL,IBOPE,,
179,VOTO NACIONAL VI,https://www.cesop.unicamp.br/por/banco_de_dados/v/409,08/1989,BRASIL,IBOPE,,
180,FILMES DUBLADOS NA TV,https://www.cesop.unicamp.br/por/banco_de_dados/v/411,08/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
181,JAZZ II - PREFERÊNCIAS E HÁBITOS MUSICAIS,https://www.cesop.unicamp.br/por/banco_de_dados/v/412,08/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
182,MEIO AMBIENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/414,08/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
183,INTENÇÃO DE VOTO PARA PRESEIDENTE V - 1989,https://www.cesop.unicamp.br/por/banco_de_dados/v/416,08/1989,BRASIL,DATAFOLHA,,
184,PENA DE MORTE / INFLAÇÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/418,08/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
185,VOTO NACIONAL VII,https://www.cesop.unicamp.br/por/banco_de_dados/v/420,09/1989,BRASIL,IBOPE,,
186,INTENÇÃO DE VOTO PRESIDENTE VI - CULTURA POLÍTICA I - CEDEC,https://www.cesop.unicamp.br/por/banco_de_dados/v/421,09/1989,BRASIL,DATAFOLHA,,
187,HORÁRIO ELEITORAL GRATUITO (EXPECTATIVA),https://www.cesop.unicamp.br/por/banco_de_dados/v/425,09/1989,CAPITAIS (VÁRIAS),DATAFOLHA,,
188,AVALIAÇÃO PRESIDENTE / GOVERNADOR,https://www.cesop.unicamp.br/por/banco_de_dados/v/427,09/1989,CAPITAIS (VÁRIAS),DATAFOLHA,,
189,SARNEY NO PALANQUE ELETRÔNICO,https://www.cesop.unicamp.br/por/banco_de_dados/v/428,09/1989,SÃO PAULO-CAP/SP,DATAFOLHA,,
190,VOTO NACIONAL VIII,https://www.cesop.unicamp.br/por/banco_de_dados/v/429,09/1989,BRASIL,IBOPE,,
191,INTENÇÃO DE VOTO PARA PRESIDENTE VII - 1989,https://www.cesop.unicamp.br/por/banco_de_dados/v/431,09/1989,BRASIL,DATAFOLHA,,
192,VOTO NACIONAL IX,https://www.cesop.unicamp.br/por/banco_de_dados/v/433,10/1989,BRASIL,IBOPE,,
193,VOTO NACIONAL X,https://www.cesop.unicamp.br/por/banco_de_dados/v/435,10/1989,BRASIL,IBOPE,,
194,VOTO NACIONAL XI,https://www.cesop.unicamp.br/por/banco_de_dados/v/436,10/1989,BRASIL,IBOPE,,
195,VOTO NACIONAL XII,https://www.cesop.unicamp.br/por/banco_de_dados/v/437,10/1989,BRASIL,IBOPE,,
196,INTENÇÃO DE VOTO PARA PRESIDENTE VIII,https://www.cesop.unicamp.br/por/banco_de_dados/v/438,10/1989,BRASIL,DATAFOLHA,,
