IDADE,FX_ID,SEXO,EL01,VP01,VP02,VP03,VP04,VP05,CONF01A,CONF01B,CONF01C,CONF01D,CONF01E,STF01,CN01,CC01A,CC01B,CC01C,CC01D,CC01E,CC01F,TE01,VA01_1,VA01_2,VA01_3,RACA,RELIGIAO,CLASSE,REND1,REND2,ALFABETIZACAO,ESCOLARIDADE,OCUPACAO,REGIAO,TIPO_COLETA,FATOR_POND,DATA_ENTREVISTA,TELEFONE_FIXO,FILTRO1,FILTRO2,ID,Nquest
28.0,3.0,2.0,4.0,1.0,,,,,3.0,3.0,3.0,3.0,3.0,99.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,,1.0,9.0,8.0,3.0,3.0,6.0,98.0,6.0,1.0,14.0,1.0,2.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157253563.0,32.0
22.0,2.0,1.0,1.0,2.0,,2.0,,,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,,4.0,2.0,5.0,3.0,2.0,5.0,6.0,5.0,1.0,13.0,2.0,2.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157254017.0,33.0
17.0,1.0,2.0,4.0,4.0,4.0,,,,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,,9.0,8.0,12.0,3.0,99.0,6.0,98.0,6.0,1.0,14.0,2.0,2.0,1.0,0.412,2021-09-18,2.0,1.0,1.0,157254796.0,34.0
24.0,2.0,2.0,2.0,1.0,,,,,1.0,99.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,,1.0,11.0,15.0,1.0,15.0,1.0,6.0,3.0,1.0,15.0,1.0,3.0,1.0,1.216129,2021-09-18,1.0,1.0,1.0,157255191.0,35.0
17.0,1.0,1.0,1.0,4.0,4.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,10.0,15.0,9.0,1.0,1.0,1.0,98.0,99.0,1.0,11.0,1.0,3.0,1.0,0.412,2021-09-18,1.0,2.0,,157255192.0,36.0
17.0,1.0,1.0,4.0,4.0,4.0,,,,99.0,99.0,99.0,99.0,99.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,10.0,7.0,3.0,2.0,4.0,98.0,6.0,1.0,12.0,2.0,2.0,1.0,0.412,2021-09-18,1.0,2.0,,157255339.0,37.0
27.0,3.0,2.0,3.0,1.0,,,,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,5.0,3.0,1.0,6.0,6.0,4.0,1.0,14.0,1.0,2.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157255340.0,38.0
18.0,2.0,1.0,2.0,4.0,4.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,,1.0,2.0,5.0,3.0,1.0,4.0,98.0,6.0,1.0,14.0,2.0,2.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157255341.0,39.0
23.0,2.0,2.0,3.0,4.0,1.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,,1.0,2.0,4.0,3.0,1.0,6.0,6.0,5.0,1.0,14.0,2.0,2.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157255342.0,40.0
30.0,3.0,1.0,2.0,1.0,,,,,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,,2.0,1.0,9.0,3.0,1.0,5.0,5.0,5.0,1.0,14.0,1.0,2.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157255343.0,41.0
16.0,1.0,2.0,2.0,4.0,4.0,,,,2.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,15.0,1.0,2.0,1.0,20.0,3.0,6.0,5.0,1.0,13.0,1.0,3.0,1.0,0.412,2021-09-18,2.0,2.0,,157255588.0,42.0
16.0,1.0,2.0,3.0,4.0,4.0,,,,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,13.0,10.0,3.0,5.0,4.0,98.0,99.0,1.0,8.0,2.0,3.0,1.0,0.412,2021-09-18,2.0,2.0,,157255649.0,43.0
22.0,2.0,2.0,1.0,1.0,,,,,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,11.0,2.0,2.0,11.0,5.0,98.0,6.0,1.0,14.0,2.0,3.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157255740.0,44.0
33.0,3.0,2.0,3.0,99.0,,,,,2.0,1.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,99.0,1.0,1.0,1.0,,10.0,12.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,16.0,1.0,3.0,1.0,1.1785714,2021-09-18,1.0,1.0,1.0,157255883.0,45.0
29.0,3.0,2.0,4.0,1.0,,,,,3.0,99.0,2.0,1.0,3.0,1.0,99.0,2.0,5.0,1.0,2.0,5.0,5.0,,2.0,4.0,1.0,2.0,1.0,5.0,6.0,5.0,1.0,13.0,1.0,4.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157256050.0,46.0
23.0,2.0,1.0,4.0,3.0,,,,1.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,,5.0,7.0,9.0,3.0,2.0,5.0,5.0,4.0,1.0,14.0,1.0,3.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157256597.0,47.0
16.0,1.0,1.0,2.0,4.0,4.0,,,,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,6.0,6.0,5.0,1.0,13.0,1.0,3.0,1.0,0.412,2021-09-18,2.0,2.0,,157256649.0,48.0
26.0,3.0,2.0,2.0,2.0,,1.0,8.0,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,,2.0,4.0,5.0,2.0,1.0,6.0,6.0,6.0,1.0,14.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157256673.0,49.0
