IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE_SOCIAL,P1A,P1B,P1C,P1D,P1E,P1F,P1G,P1H,P2_1,P2_2,p2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P4_1,P4_2,p4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,RACA,RELIGIAO,RENDA1,RENDA2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND,ID
33.0,2.0,1.0,15.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,9.0,2.0,4.0,6.0,,,,,2.0,4.0,6.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,7.0,1.0,1.0,99.0,2.0,2.0,18.0,5.0,3.0,6.0,4.0,1.0,0.40883078906542475,155628414.0
64.0,5.0,1.0,15.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,99.0,,,2.0,,,,,,,3.0,,,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,4.0,2.0,4.0,2.0,0.13603676803707562,155628530.0
54.0,4.0,1.0,14.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,,,99.0,,,,,,,99.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,2.0,2.0,2.0,2.0,1.0,8.0,1.0,1.0,4.0,4.0,2.0,1.217254003185608,155628723.0
17.0,1.0,1.0,14.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,,6.0,7.0,,,,,,4.0,3.0,,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,5.0,99.0,1.0,1.0,2.0,2.0,3.0,20.0,98.0,5.0,7.0,4.0,1.0,2.0215268828221964,155629227.0
37.0,3.0,2.0,14.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,,,1.0,,,,,,,4.0,,,2.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,6.0,7.0,4.0,2.0,2.0,2.0,2.0,1.0,19.0,5.0,5.0,5.0,4.0,2.0,1.8224942195058285,155630294.0
34.0,2.0,1.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,10.0,5.0,5.0,5.0,4.0,1.0,3.6497642644426254,155630547.0
24.0,1.0,1.0,16.0,1.0,4.0,2.0,99.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,,4.0,,,,,,,6.0,,,3.0,1.0,4.0,2.0,4.0,99.0,99.0,1.0,2.0,3.0,7.0,4.0,1.0,1.0,2.0,1.0,3.0,8.0,5.0,4.0,2.0,4.0,2.0,0.9989484851883532,155631980.0
59.0,5.0,1.0,16.0,1.0,4.0,1.0,1.0,1.0,99.0,1.0,99.0,1.0,1.0,2.0,9.0,7.0,3.0,6.0,7.0,,,,,6.0,2.0,,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,5.0,7.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,7.0,4.0,2.0,0.8946660491136718,155632517.0
19.0,1.0,2.0,15.0,2.0,4.0,99.0,2.0,1.0,1.0,99.0,2.0,1.0,99.0,7.0,5.0,2.0,2.0,3.0,6.0,7.0,,,,4.0,3.0,6.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,7.0,1.0,99.0,1.0,99.0,3.0,11.0,98.0,4.0,4.0,4.0,2.0,1.3364913430073107,155632537.0
52.0,4.0,1.0,11.0,1.0,4.0,99.0,99.0,99.0,2.0,2.0,2.0,1.0,2.0,7.0,9.0,1.0,2.0,3.0,6.0,,,,,4.0,,,2.0,2.0,1.0,1.0,2.0,4.0,99.0,1.0,2.0,7.0,3.0,2.0,99.0,99.0,99.0,99.0,3.0,13.0,5.0,5.0,5.0,4.0,2.0,1.3410431467613158,155633305.0
