IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P4F,P4G,P4H,P5_1,P5_2,P5_3,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P6_11,P6_12,P6_13,P6_98,P7,P8_1,P8_2,P8_3,P_ORIENT,P_IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND
30.0,1.0,16.0,1.0,4.0,8.0,99.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,1.0,3.0,5.0,,,,,,,,,,,,3.0,97.0,,,3.0,2.0,1.0,99.0,4.0,4.0,6.0,4.0,2.0,0.8932191292350172
23.0,2.0,14.0,1.0,4.0,99.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,99.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,3.0,1.0,1.0,99.0,6.0,4.0,1.0,4.0,2.0,0.27471616952930034
32.0,2.0,14.0,1.0,4.0,10.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,99.0,99.0,99.0,4.0,4.0,2.0,1.1006113741505328
21.0,1.0,14.0,2.0,2.0,7.0,99.0,99.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,1.0,99.0,98.0,4.0,7.0,4.0,2.0,1.6098044224624561
24.0,2.0,14.0,1.0,4.0,7.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,2.0,5.0,3.0,4.0,8.0,9.0,,,,,,,,,,,99.0,4.0,2.0,5.0,1.0,1.0,1.0,99.0,98.0,99.0,5.0,4.0,2.0,0.8360887398843153
67.0,2.0,14.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,5.0,6.0,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,99.0,6.0,6.0,3.0,4.0,2.0,0.7772961480915227
23.0,2.0,14.0,2.0,4.0,3.0,3.0,2.0,2.0,99.0,2.0,2.0,99.0,4.0,4.0,99.0,2.0,9.0,1.0,97.0,,,,,,,,,,,,,,3.0,2.0,1.0,5.0,1.0,1.0,1.0,99.0,6.0,6.0,6.0,4.0,2.0,1.1300857806436801
24.0,2.0,14.0,1.0,6.0,6.0,2.0,2.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,99.0,6.0,99.0,3.0,4.0,2.0,0.42488163055532213
27.0,1.0,14.0,1.0,4.0,7.0,3.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,97.0,,,10.0,,,,,,,,,,,,,,3.0,2.0,,,1.0,2.0,1.0,99.0,5.0,4.0,8.0,4.0,2.0,0.4461072351190953
29.0,1.0,16.0,1.0,3.0,9.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,6.0,1.0,,,,,,,,,,,,,,99.0,3.0,2.0,5.0,1.0,2.0,1.0,99.0,4.0,3.0,1.0,4.0,2.0,0.42024326830319636
31.0,2.0,15.0,2.0,4.0,5.0,99.0,99.0,2.0,2.0,2.0,99.0,2.0,4.0,2.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,99.0,99.0,99.0,4.0,4.0,2.0,0.7891432110849806
47.0,2.0,16.0,1.0,4.0,6.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,8.0,6.0,1.0,,,,,,,,,,,,,,3.0,1.0,4.0,3.0,1.0,1.0,1.0,99.0,99.0,99.0,8.0,4.0,2.0,0.6720707436661326
41.0,2.0,14.0,2.0,4.0,5.0,99.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,99.0,98.0,6.0,1.0,4.0,2.0,0.41656624059535646
47.0,2.0,14.0,1.0,3.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,1.0,99.0,99.0,99.0,3.0,4.0,2.0,0.6971603668281379
20.0,2.0,15.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,11.0,4.0,5.0,3.0,5.0,,,,,,,,,,,,,1.0,2.0,6.0,4.0,2.0,1.0,5.0,20.0,6.0,6.0,4.0,4.0,2.0,0.7605033002804868
46.0,2.0,8.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,5.0,3.0,1.0,5.0,10.0,,,,,,,,,,,,3.0,1.0,3.0,6.0,2.0,1.0,5.0,20.0,6.0,5.0,2.0,4.0,1.0,0.3101136978756145
