IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P4F,P4G,P4H,P5_1,P5_2,P5_3,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P6_11,P6_12,P6_13,P6_98,P7,P8_1,P8_2,P8_3,P_ORIENT,P_IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND
39.0,2.0,14.0,2.0,3.0,7.0,99.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,10.0,3.0,97.0,,,,,,,,,,,,,,3.0,2.0,4.0,1.0,1.0,1.0,1.0,20.0,99.0,99.0,1.0,4.0,2.0,0.39957263014281025
47.0,2.0,16.0,1.0,3.0,6.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,9.0,3.0,1.0,3.0,,,,,,,,,,,,,3.0,6.0,5.0,1.0,1.0,1.0,1.0,20.0,3.0,3.0,8.0,4.0,2.0,0.6446539554067346
72.0,1.0,16.0,1.0,2.0,6.0,3.0,2.0,2.0,4.0,99.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,5.0,1.0,6.0,7.0,,,,,,,,,,,,99.0,1.0,4.0,2.0,1.0,2.0,1.0,20.0,3.0,2.0,1.0,4.0,2.0,0.1834426827219851
21.0,1.0,14.0,2.0,3.0,7.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,,1.0,2.0,3.0,4.0,7.0,,,,,,,,,,3.0,99.0,,,1.0,2.0,1.0,20.0,6.0,4.0,2.0,4.0,2.0,1.1026543017157118
19.0,2.0,14.0,1.0,4.0,7.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,8.0,1.0,6.0,1.0,3.0,10.0,,,,,,,,,,,,3.0,97.0,,,1.0,1.0,1.0,20.0,5.0,4.0,3.0,4.0,2.0,0.4176936591105713
22.0,2.0,9.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,2.0,1.0,5.0,7.0,10.0,,,,,,,,,,,3.0,2.0,4.0,6.0,1.0,2.0,1.0,20.0,6.0,4.0,7.0,4.0,1.0,1.9806882726301596
43.0,1.0,1.0,1.0,5.0,10.0,3.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,1.0,3.0,7.0,,,,,,,,,,,,,,99.0,2.0,1.0,3.0,1.0,2.0,1.0,20.0,6.0,5.0,5.0,4.0,1.0,1.3692857890968013
61.0,2.0,5.0,1.0,5.0,10.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,3.0,,5.0,,,,,,,,,,,,,,1.0,3.0,,,1.0,1.0,1.0,20.0,6.0,6.0,3.0,4.0,1.0,0.9757650235535023
24.0,2.0,11.0,1.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,9.0,1.0,2.0,3.0,4.0,7.0,8.0,11.0,13.0,,,,,,,1.0,2.0,6.0,1.0,2.0,1.0,5.0,19.0,6.0,6.0,7.0,4.0,1.0,1.9806882726301596
36.0,2.0,16.0,1.0,4.0,7.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,8.0,3.0,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,1.0,1.0,4.0,19.0,3.0,3.0,2.0,4.0,2.0,0.6545222684376989
43.0,2.0,14.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,1.0,3.0,5.0,10.0,11.0,12.0,,,,,,,,,3.0,2.0,1.0,4.0,1.0,1.0,4.0,19.0,98.0,4.0,3.0,4.0,2.0,0.7054062221207453
22.0,1.0,14.0,1.0,4.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,3.0,19.0,99.0,99.0,5.0,4.0,2.0,1.9898586365030304
19.0,1.0,15.0,1.0,5.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,8.0,6.0,1.0,3.0,5.0,7.0,,,,,,,,,,,1.0,3.0,1.0,5.0,5.0,2.0,3.0,19.0,5.0,4.0,1.0,4.0,2.0,0.41800098061144975
22.0,1.0,14.0,1.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,6.0,1.0,10.0,5.0,10.0,,,,,,,,,,,,,2.0,2.0,3.0,1.0,4.0,99.0,3.0,19.0,6.0,5.0,7.0,4.0,2.0,1.8690432858627686
39.0,1.0,11.0,1.0,6.0,5.0,1.0,1.0,2.0,2.0,3.0,99.0,4.0,3.0,99.0,99.0,3.0,10.0,7.0,9.0,,,,,,,,,,,,,,2.0,6.0,3.0,2.0,4.0,1.0,3.0,19.0,6.0,5.0,3.0,4.0,1.0,0.944586184893088
26.0,2.0,15.0,1.0,4.0,5.0,99.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,6.0,1.0,2.0,,,,,,,,,,,,,,3.0,1.0,2.0,5.0,3.0,1.0,3.0,19.0,4.0,4.0,2.0,4.0,2.0,0.6845067909188847
26.0,1.0,14.0,1.0,5.0,10.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,5.0,11.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,10.0,12.0,,,,,,,1.0,6.0,1.0,4.0,2.0,2.0,3.0,19.0,6.0,6.0,8.0,4.0,2.0,0.39096329758585824
31.0,2.0,16.0,1.0,4.0,9.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,10.0,9.0,2.0,10.0,13.0,,,,,,,,,,,,2.0,1.0,2.0,4.0,1.0,99.0,3.0,19.0,98.0,6.0,8.0,4.0,2.0,0.6321944840785221
22.0,2.0,15.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,9.0,8.0,1.0,1.0,2.0,4.0,5.0,11.0,13.0,,,,,,,,,3.0,2.0,3.0,4.0,1.0,1.0,3.0,19.0,6.0,5.0,7.0,4.0,2.0,1.237158830311169
33.0,1.0,16.0,1.0,1.0,10.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,6.0,1.0,3.0,5.0,6.0,7.0,11.0,,,,,,,,,,3.0,1.0,2.0,6.0,1.0,2.0,3.0,19.0,4.0,4.0,1.0,4.0,2.0,0.48961829560308107
43.0,2.0,15.0,1.0,5.0,10.0,3.0,1.0,4.0,99.0,99.0,4.0,4.0,4.0,99.0,99.0,99.0,,,1.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,3.0,19.0,5.0,5.0,5.0,4.0,2.0,0.8647612822809605
49.0,1.0,11.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,10.0,5.0,8.0,9.0,,,,,,,,,,,,99.0,2.0,,,1.0,2.0,3.0,19.0,99.0,99.0,6.0,4.0,2.0,1.5214330507395597
26.0,2.0,14.0,1.0,3.0,10.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,96.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,19.0,5.0,4.0,5.0,4.0,2.0,1.0718007019036893
28.0,2.0,14.0,1.0,4.0,8.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,6.0,5.0,9.0,1.0,3.0,10.0,,,,,,,,,,,,3.0,1.0,3.0,4.0,1.0,1.0,3.0,19.0,98.0,5.0,7.0,4.0,2.0,1.0660763667801703
45.0,1.0,16.0,1.0,1.0,9.0,99.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,1.0,10.0,5.0,6.0,7.0,,,,,,,,,,,,3.0,3.0,4.0,1.0,1.0,2.0,3.0,19.0,5.0,4.0,7.0,4.0,2.0,1.3945677976761648
25.0,2.0,14.0,1.0,5.0,10.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,2.0,9.0,3.0,5.0,7.0,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,3.0,19.0,5.0,3.0,4.0,4.0,2.0,0.9645632671335634
39.0,2.0,16.0,1.0,4.0,8.0,99.0,99.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,99.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,3.0,19.0,5.0,5.0,3.0,4.0,2.0,1.2215123591005064
39.0,2.0,16.0,1.0,4.0,8.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,7.0,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,3.0,19.0,6.0,6.0,3.0,4.0,2.0,1.2215123591005064
58.0,1.0,16.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,99.0,,,97.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,2.0,3.0,19.0,4.0,2.0,2.0,4.0,2.0,0.5004404111789013
32.0,2.0,14.0,1.0,4.0,9.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,11.0,2.0,6.0,97.0,,,,,,,,,,,,,,3.0,6.0,1.0,3.0,1.0,1.0,3.0,19.0,6.0,4.0,1.0,4.0,2.0,0.43047807271304217
35.0,2.0,14.0,1.0,4.0,7.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,10.0,3.0,10.0,,,,,,,,,,,,,3.0,2.0,1.0,,1.0,1.0,3.0,19.0,6.0,6.0,7.0,4.0,2.0,1.024188174406478
24.0,2.0,15.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,10.0,11.0,,3.0,10.0,13.0,,,,,,,,,,,,3.0,1.0,2.0,3.0,1.0,1.0,3.0,19.0,6.0,5.0,2.0,4.0,2.0,0.751158235291241
27.0,2.0,16.0,1.0,5.0,7.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,3.0,1.0,1.0,3.0,19.0,5.0,4.0,7.0,4.0,2.0,0.8338210783613752
23.0,2.0,16.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,11.0,3.0,4.0,7.0,,,,,,,,,,,,1.0,2.0,6.0,4.0,1.0,1.0,3.0,19.0,5.0,5.0,1.0,4.0,2.0,0.12962868374319006
40.0,2.0,16.0,1.0,4.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,2.0,3.0,,,,,,,,,,,,,3.0,2.0,3.0,6.0,1.0,1.0,3.0,19.0,99.0,99.0,1.0,4.0,2.0,0.22581175556024197
27.0,2.0,14.0,2.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,10.0,1.0,5.0,11.0,,,,,,,,,,,,1.0,5.0,2.0,1.0,1.0,1.0,3.0,19.0,98.0,5.0,8.0,4.0,2.0,0.6172438235086245
43.0,1.0,15.0,1.0,4.0,3.0,99.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,2.0,9.0,1.0,3.0,5.0,6.0,7.0,10.0,,,,,,,,,99.0,1.0,2.0,4.0,1.0,2.0,3.0,19.0,5.0,5.0,3.0,4.0,2.0,0.5991943923336189
33.0,2.0,13.0,2.0,5.0,6.0,1.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,3.0,19.0,98.0,99.0,1.0,4.0,2.0,0.2938553728321389
40.0,1.0,16.0,1.0,3.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,99.0,9.0,11.0,10.0,5.0,,,,,,,,,,,,,,3.0,97.0,,,1.0,2.0,3.0,19.0,4.0,3.0,1.0,4.0,2.0,0.15763563951035328
38.0,1.0,15.0,2.0,4.0,9.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,2.0,3.0,19.0,98.0,6.0,2.0,4.0,2.0,1.072403299218502
26.0,1.0,16.0,1.0,4.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,6.0,11.0,1.0,3.0,4.0,10.0,11.0,,,,,,,,,,1.0,6.0,4.0,3.0,1.0,2.0,3.0,19.0,5.0,5.0,8.0,4.0,2.0,0.6735322817822985
46.0,2.0,14.0,1.0,3.0,7.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,10.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,3.0,1.0,3.0,6.0,1.0,1.0,3.0,19.0,5.0,5.0,7.0,4.0,2.0,1.6976595886894554
33.0,2.0,12.0,2.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,6.0,9.0,1.0,3.0,10.0,96.0,,,,,,,,,,,,2.0,1.0,2.0,5.0,1.0,1.0,3.0,19.0,6.0,6.0,7.0,4.0,2.0,0.8290937552732646
40.0,2.0,16.0,1.0,4.0,8.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,6.0,4.0,3.0,5.0,7.0,10.0,,,,,,,,,,,3.0,6.0,1.0,4.0,1.0,1.0,3.0,19.0,5.0,4.0,6.0,4.0,2.0,0.9054750077779736
35.0,2.0,12.0,1.0,5.0,10.0,2.0,1.0,1.0,99.0,2.0,2.0,4.0,99.0,4.0,99.0,2.0,10.0,1.0,3.0,5.0,6.0,,,,,,,,,,,,99.0,3.0,2.0,1.0,1.0,1.0,3.0,19.0,98.0,6.0,8.0,4.0,2.0,0.8404079360352142
33.0,2.0,3.0,1.0,5.0,10.0,2.0,2.0,4.0,2.0,1.0,4.0,99.0,2.0,4.0,4.0,2.0,11.0,1.0,1.0,3.0,11.0,,,,,,,,,,,,3.0,3.0,2.0,1.0,1.0,1.0,3.0,19.0,6.0,4.0,7.0,4.0,2.0,1.461095084394307
45.0,1.0,15.0,1.0,3.0,4.0,99.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,8.0,1.0,5.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,3.0,19.0,2.0,2.0,5.0,4.0,2.0,1.4136095350073892
60.0,2.0,16.0,2.0,4.0,6.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,11.0,,,,,,,,,,,,3.0,4.0,,,1.0,1.0,3.0,19.0,5.0,4.0,8.0,4.0,2.0,0.9188227917823644
60.0,2.0,16.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,99.0,2.0,2.0,2.0,4.0,4.0,6.0,5.0,3.0,97.0,,,,,,,,,,,,,,1.0,3.0,1.0,2.0,1.0,1.0,3.0,19.0,4.0,4.0,6.0,4.0,2.0,1.6453452655807157
62.0,1.0,11.0,2.0,4.0,7.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,97.0,,,1.0,3.0,5.0,96.0,,,,,,,,,,,3.0,1.0,,,1.0,2.0,3.0,19.0,5.0,4.0,4.0,4.0,2.0,0.5841811459662198
46.0,1.0,16.0,1.0,2.0,7.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,6.0,11.0,1.0,2.0,3.0,4.0,10.0,11.0,,,,,,,,,1.0,1.0,4.0,6.0,1.0,2.0,3.0,19.0,4.0,4.0,1.0,4.0,2.0,0.9658650117345019
67.0,2.0,7.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,10.0,9.0,10.0,,,,,,,,,,,,,,3.0,4.0,1.0,5.0,1.0,1.0,3.0,19.0,5.0,5.0,3.0,4.0,2.0,1.067972785283311
24.0,1.0,14.0,1.0,4.0,6.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,6.0,2.0,1.0,10.0,,,,,,,,,,,,,3.0,4.0,1.0,2.0,1.0,2.0,3.0,19.0,6.0,5.0,1.0,4.0,2.0,1.207711709360852
36.0,2.0,14.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,5.0,97.0,,,,,,,,,,,,,,99.0,6.0,3.0,1.0,1.0,1.0,3.0,19.0,6.0,6.0,5.0,4.0,2.0,0.7918296015416377
32.0,1.0,14.0,2.0,4.0,8.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,,,2.0,,,,,,,,,,,,,,99.0,97.0,,,1.0,2.0,3.0,19.0,99.0,99.0,7.0,4.0,2.0,1.8318812217927427
44.0,1.0,12.0,2.0,3.0,9.0,2.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.0,8.0,6.0,10.0,,,,,,,,,,,,,,3.0,1.0,,,1.0,2.0,3.0,19.0,5.0,4.0,1.0,4.0,2.0,0.6571661352448446
26.0,2.0,16.0,1.0,4.0,9.0,99.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,6.0,3.0,,97.0,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,1.0,1.0,3.0,19.0,6.0,4.0,1.0,4.0,2.0,0.18176045020190468
23.0,2.0,11.0,2.0,4.0,5.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,99.0,99.0,2.0,3.0,4.0,2.0,3.0,5.0,10.0,,,,,,,,,,,99.0,99.0,,,1.0,1.0,3.0,19.0,6.0,6.0,5.0,4.0,2.0,2.5951065317302433
45.0,2.0,14.0,1.0,3.0,10.0,99.0,1.0,4.0,4.0,99.0,99.0,99.0,3.0,3.0,99.0,7.0,2.0,5.0,1.0,3.0,10.0,,,,,,,,,,,,1.0,5.0,4.0,3.0,1.0,1.0,3.0,19.0,99.0,99.0,2.0,4.0,2.0,0.566315105755171
22.0,2.0,15.0,2.0,2.0,8.0,2.0,1.0,4.0,99.0,2.0,2.0,4.0,4.0,4.0,4.0,11.0,9.0,10.0,3.0,9.0,,,,,,,,,,,,,3.0,3.0,4.0,1.0,1.0,1.0,3.0,19.0,98.0,3.0,1.0,4.0,2.0,0.08666228138217144
23.0,1.0,14.0,2.0,3.0,8.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,1.0,2.0,3.0,4.0,10.0,12.0,13.0,,,,,,,,,3.0,2.0,3.0,1.0,1.0,2.0,3.0,19.0,99.0,99.0,3.0,4.0,2.0,0.9837380435383682
56.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,,,5.0,10.0,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,3.0,19.0,6.0,6.0,7.0,4.0,1.0,3.2826783450070063
55.0,1.0,3.0,2.0,6.0,7.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,,,97.0,,,,,,,,,,,,,,3.0,6.0,1.0,,1.0,2.0,3.0,19.0,5.0,5.0,7.0,4.0,1.0,0.7390058304767313
63.0,1.0,10.0,1.0,6.0,6.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,8.0,4.0,97.0,,,,,,,,,,,,,,2.0,5.0,,,1.0,2.0,3.0,19.0,5.0,5.0,7.0,4.0,1.0,0.8230112459066092
37.0,1.0,11.0,1.0,5.0,7.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,8.0,3.0,97.0,,,,,,,,,,,,,,2.0,4.0,,,1.0,2.0,3.0,19.0,6.0,5.0,7.0,4.0,1.0,1.0823191378910904
17.0,2.0,11.0,1.0,5.0,99.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,9.0,1.0,3.0,10.0,,,,,,,,,,,,,3.0,4.0,1.0,3.0,1.0,1.0,3.0,19.0,5.0,99.0,6.0,4.0,1.0,0.7986615978683009
40.0,2.0,14.0,2.0,4.0,6.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,11.0,1.0,1.0,2.0,,,,,,,,,,,,,3.0,2.0,1.0,4.0,5.0,1.0,2.0,19.0,99.0,99.0,7.0,4.0,2.0,0.7965170658362727
21.0,2.0,14.0,1.0,6.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0,10.0,11.0,,,,,,,,,,,,3.0,2.0,1.0,3.0,3.0,1.0,2.0,19.0,99.0,99.0,7.0,4.0,2.0,1.4700633117331838
43.0,2.0,16.0,2.0,2.0,10.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,11.0,1.0,,,,,,,,,,,,,,3.0,2.0,4.0,5.0,2.0,1.0,2.0,19.0,3.0,1.0,1.0,4.0,2.0,0.16871126718579535
26.0,1.0,16.0,1.0,5.0,7.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,11.0,2.0,1.0,3.0,4.0,10.0,11.0,13.0,,,,,,,,,,1.0,3.0,2.0,6.0,2.0,2.0,2.0,19.0,5.0,4.0,5.0,4.0,2.0,1.1815977401896498
36.0,1.0,16.0,1.0,1.0,10.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,5.0,1.0,2.0,3.0,,,,,,,,,,,,,3.0,1.0,6.0,2.0,1.0,2.0,2.0,19.0,98.0,99.0,8.0,4.0,2.0,0.9495976684393115
19.0,2.0,13.0,2.0,5.0,6.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,2.0,1.0,3.0,,,,,,,,,,,,,3.0,2.0,1.0,3.0,1.0,1.0,2.0,19.0,98.0,6.0,7.0,4.0,2.0,0.9850040515739542
31.0,1.0,14.0,2.0,4.0,8.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,9.0,,,10.0,,,,,,,,,,,,,,3.0,1.0,,,1.0,2.0,2.0,19.0,98.0,6.0,5.0,4.0,2.0,1.4215334470917382
55.0,1.0,15.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,10.0,11.0,1.0,,,,,,,,,,,,,,3.0,2.0,3.0,1.0,1.0,2.0,2.0,19.0,4.0,4.0,1.0,4.0,2.0,0.19124440199748619
37.0,2.0,14.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,1.0,2.0,19.0,99.0,99.0,2.0,4.0,2.0,0.6764430833352534
54.0,1.0,11.0,1.0,6.0,10.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,11.0,9.0,12.0,,,,,,,,,,,,,,3.0,3.0,6.0,1.0,1.0,2.0,2.0,19.0,6.0,6.0,3.0,4.0,1.0,1.111166367611622
36.0,1.0,14.0,1.0,4.0,6.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,1.0,19.0,4.0,4.0,7.0,4.0,2.0,2.0207297039675725
40.0,1.0,10.0,1.0,4.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,3.0,5.0,,,,,,,,,,,,,3.0,97.0,,,99.0,99.0,1.0,19.0,5.0,5.0,5.0,4.0,2.0,1.5624185217224835
32.0,2.0,15.0,2.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,11.0,6.0,2.0,1.0,3.0,10.0,,,,,,,,,,,,3.0,6.0,4.0,1.0,3.0,1.0,1.0,19.0,98.0,6.0,4.0,4.0,2.0,0.7891432110849806
32.0,2.0,16.0,1.0,4.0,7.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,8.0,10.0,9.0,1.0,3.0,9.0,11.0,,,,,,,,,,,1.0,2.0,1.0,5.0,3.0,1.0,1.0,19.0,4.0,3.0,8.0,4.0,2.0,0.6321944840785221
18.0,2.0,14.0,2.0,6.0,7.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,11.0,2.0,1.0,2.0,3.0,4.0,11.0,13.0,,,,,,,,,,1.0,1.0,2.0,4.0,3.0,1.0,1.0,19.0,98.0,6.0,3.0,4.0,2.0,0.40943849100495966
33.0,1.0,16.0,1.0,2.0,8.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,11.0,5.0,6.0,1.0,3.0,5.0,10.0,,,,,,,,,,,3.0,5.0,1.0,4.0,3.0,2.0,1.0,19.0,3.0,2.0,6.0,4.0,2.0,0.8567807037176491
31.0,2.0,15.0,1.0,2.0,10.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,11.0,10.0,2.0,3.0,7.0,8.0,9.0,,,,,,,,,,,3.0,2.0,6.0,4.0,2.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,2.0,1.0455967054037711
26.0,1.0,14.0,1.0,5.0,10.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,7.0,8.0,2.0,3.0,4.0,9.0,12.0,,,,,,,,,,1.0,6.0,3.0,2.0,2.0,2.0,1.0,19.0,6.0,6.0,8.0,4.0,2.0,0.39096329758585824
23.0,2.0,14.0,1.0,4.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,11.0,97.0,,,,,,,,,,,,,,3.0,2.0,4.0,,2.0,1.0,1.0,19.0,6.0,6.0,4.0,4.0,2.0,1.2102707930807115
30.0,1.0,16.0,1.0,4.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,9.0,6.0,7.0,,,,,,,,,,,,,,3.0,2.0,3.0,1.0,2.0,2.0,1.0,19.0,5.0,5.0,3.0,4.0,2.0,0.953781266702386
27.0,1.0,16.0,1.0,4.0,7.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,6.0,1.0,2.0,3.0,5.0,7.0,9.0,10.0,11.0,13.0,,,,,,1.0,4.0,1.0,6.0,2.0,2.0,1.0,19.0,5.0,4.0,3.0,4.0,2.0,0.953781266702386
29.0,1.0,15.0,1.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,9.0,3.0,,,,,,,,,,,,,,3.0,1.0,2.0,6.0,2.0,2.0,1.0,19.0,5.0,4.0,8.0,4.0,2.0,0.6460558708099042
