IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P3,P4,P5_1,P5_2,P5_3,P_PCD_1,P_PCD_2,P_PCD_3,ORIENT,IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,AMOSTRA,FATOR_POND,ID,TIPO_COLETA
29.0,2.0,2.0,14.0,1.0,4.0,3.0,3.0,9.0,6.0,7.0,4.0,,,1.0,96.0,3.0,99.0,4.0,4.0,5.0,3.0,1.2104277827069245,161281993.0,4.0
48.0,4.0,1.0,16.0,1.0,4.0,5.0,,10.0,7.0,9.0,4.0,,,1.0,2.0,1.0,20.0,4.0,4.0,8.0,3.0,0.3863236733254084,161283616.0,4.0
27.0,2.0,2.0,14.0,2.0,5.0,3.0,1.0,10.0,7.0,4.0,4.0,,,1.0,1.0,2.0,1.0,98.0,4.0,7.0,2.0,1.117349947496726,161283855.0,4.0
27.0,2.0,1.0,14.0,1.0,4.0,5.0,,5.0,99.0,,4.0,,,1.0,2.0,3.0,18.0,2.0,2.0,7.0,2.0,1.1230291549083258,161283856.0,4.0
61.0,5.0,1.0,5.0,2.0,4.0,5.0,,4.0,7.0,6.0,2.0,,,1.0,2.0,3.0,19.0,6.0,6.0,6.0,3.0,2.572546684683063,161284834.0,4.0
26.0,2.0,1.0,16.0,2.0,4.0,1.0,,10.0,3.0,7.0,4.0,,,1.0,1.0,1.0,1.0,98.0,99.0,6.0,3.0,1.2688194665056274,161286121.0,4.0
63.0,5.0,1.0,16.0,2.0,4.0,3.0,,5.0,8.0,7.0,4.0,,,1.0,2.0,1.0,15.0,99.0,99.0,1.0,3.0,0.261786121927339,161286237.0,4.0
64.0,5.0,2.0,11.0,2.0,4.0,5.0,1.0,2.0,4.0,10.0,4.0,,,1.0,1.0,3.0,14.0,99.0,99.0,2.0,3.0,0.39166240236105393,161288353.0,4.0
29.0,2.0,1.0,16.0,1.0,4.0,97.0,,2.0,3.0,7.0,4.0,,,1.0,96.0,1.0,99.0,3.0,3.0,2.0,3.0,0.3989048760602668,161288441.0,4.0
37.0,3.0,2.0,16.0,1.0,4.0,3.0,4.0,2.0,7.0,9.0,98.0,,,1.0,1.0,4.0,19.0,3.0,3.0,2.0,3.0,0.6867906372525365,161289962.0,4.0
62.0,5.0,1.0,16.0,2.0,4.0,97.0,,9.0,3.0,10.0,4.0,,,1.0,2.0,1.0,1.0,99.0,99.0,1.0,3.0,0.261786121927339,161290439.0,4.0
