IDADE,FX_IDADE,SEXO,p1,p901a,p901b,p901c,p901d,p901e,p901f,p901g,p901h,p901i,p901j,p901k,p901l,p901m,p901n,p901o,p901p,p901q,p901r,p901s,p901t,p906,pea,carro,empreg,maqlav,dvd,banhe,gelad,freezer,comput,lavlou,microon,motocic,secadora,agua,rua,escola,escolac,CLASSE2,RCLASSE2,rendaf,cor,METROP,REGIAO,PESO,nquest
30.0,2.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,96.0,2.0,1.0,96.0,1.0,96.0,96.0,1.0,96.0,1.0,1.0,4.0,4.0,29.0,3.0,1.0,3.0,3.0,3.0,1.0358039512929893,185715345.0
23.0,1.0,1.0,3.0,4.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,2.0,96.0,2.0,1.0,4.0,4.0,14.0,6.0,3.0,3.0,3.0,5.0,1.3062059495179326,185715379.0
47.0,4.0,2.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,5.0,4.0,96.0,96.0,2.0,1.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,3.0,2.0,19.0,5.0,9.0,3.0,2.0,1.0,1.0007372185245675,185715416.0
52.0,4.0,1.0,3.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,22.0,5.0,3.0,3.0,3.0,3.0,1.0556804377274347,185715478.0
57.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,1.0,4.0,5.0,1.0,1.0,5.0,4.0,96.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,23.0,4.0,3.0,2.0,1.0,5.0,0.6137763723818497,185715545.0
50.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,96.0,96.0,1.0,96.0,1.0,1.0,96.0,2.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,5.0,25.0,4.0,3.0,3.0,1.0,3.0,0.5560674262272068,185715600.0
23.0,1.0,1.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,4.0,99.0,99.0,99.0,99.0,99.0,5.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,7.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,2.0,2.0,4.0,1.0,5.0,6.0,99.0,3.0,3.0,3.0,1.0840863191998078,185715619.0
40.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,10.0,1.0,96.0,1.0,96.0,1.0,1.0,1.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,5.0,5.0,24.0,4.0,9.0,1.0,3.0,1.0,1.49586371372299,185715622.0
22.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,96.0,3.0,96.0,96.0,96.0,96.0,1.0,1.0,6.0,6.0,26.0,4.0,2.0,2.0,1.0,3.0,0.6401420002332026,185715676.0
66.0,5.0,2.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,15.0,96.0,96.0,1.0,96.0,2.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,2.0,2.0,20.0,5.0,9.0,3.0,3.0,3.0,1.12436202648406,185715799.0
