IDADE,FX_ID,SEXO,cor,p2,p3a,p3b,p4,p5,p6,p7,p8,p9a,p9b,p9c,p9d,p9e,p9f,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,PARTIDO,ESCOLA,RENDAF,RENDA
48.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,1.0,13.0,1.0,690.0,3.0
28.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,1.0,0.0,1.0,13.0,1.0,1000.0,3.0
39.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,6.0,1.0,0.0,1.0,5.0,2.0,300.0,2.0
55.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,13.0,1.0,350.0,2.0
38.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,2.0,13.0,1.0,1000.0,3.0
45.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,12.0,1.0,6000.0,4.0
16.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,13.0,2.0,500.0,2.0
17.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,13.0,2.0,500.0,2.0
40.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,0.0,1.0,13.0,1.0,1500.0,4.0
26.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,0.0,2.0,2.0,1.0,1000.0,3.0
48.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,6.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,0.0,1.0,13.0,1.0,500.0,2.0
42.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,0.0,1.0,13.0,2.0,3000.0,5.0
26.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,6.0,1.0,0.0,1.0,2.0,2.0,400.0,2.0
41.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,6.0,1.0,0.0,1.0,12.0,1.0,800.0,3.0
34.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,0.0,2.0,0.0,1.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,99.0,7.0
34.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,13.0,1.0,1000.0,3.0
23.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,6.0,1.0,0.0,1.0,2.0,2.0,4500.0,5.0
59.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,3.0,3.0,1.0,13.0,1.0,500.0,2.0
