IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2_1,P2_2,P2_3,P3,P4_1,P4_2,P4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,P7E,P8,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P11_1,P11_2,P11_3,P12,P_RACA,P_RELIGIAO,REND1,REND2,REGIAO,FATOR_POND,TIPO_COLETA,AMOSTRA,ID
56.0,4.0,1.0,14.0,1.0,4.0,1.0,2.0,5.0,7.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,99.0,99.0,1.0,99.0,1.0,1.0,4.0,2.0,5.0,,,,1.0,3.0,8.0,,,,,,2.0,5.0,9.0,2.0,3.0,1.0,5.0,3.0,7.0,1.2660326347161777,4.0,3.0,161168287.0
36.0,3.0,1.0,15.0,1.0,4.0,1.0,2.0,6.0,8.0,1.0,2.0,5.0,6.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,6.0,4.0,1.0,,,1.0,4.0,6.0,,,,,,9.0,5.0,6.0,1.0,1.0,1.0,4.0,3.0,1.0,0.1758145176656553,4.0,3.0,161169207.0
41.0,3.0,1.0,14.0,1.0,4.0,3.0,2.0,4.0,9.0,1.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,,,,,99.0,,,,,,,,99.0,,,3.0,1.0,20.0,6.0,6.0,2.0,0.8962499844085715,4.0,3.0,161169945.0
41.0,3.0,2.0,14.0,1.0,4.0,1.0,5.0,7.0,9.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,7.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,,,,1.0,6.0,3.0,8.0,4.0,,,,2.0,1.0,5.0,1.0,1.0,16.0,5.0,4.0,5.0,0.7468532554819446,4.0,3.0,161170051.0
37.0,3.0,1.0,15.0,1.0,4.0,1.0,1.0,6.0,7.0,1.0,1.0,3.0,6.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,,,,,5.0,7.0,6.0,1.0,4.0,8.0,2.0,3.0,9.0,2.0,3.0,1.0,3.0,1.0,5.0,4.0,4.0,1.2926205172055545,4.0,3.0,161170794.0
43.0,3.0,2.0,14.0,1.0,4.0,98.0,1.0,5.0,8.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,99.0,99.0,99.0,99.0,99.0,4.0,2.0,4.0,,,,,99.0,,,,,,,,6.0,1.0,3.0,1.0,1.0,19.0,4.0,3.0,2.0,0.605266160901728,4.0,3.0,161170813.0
25.0,2.0,2.0,14.0,2.0,4.0,1.0,1.0,5.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,8.0,1.0,2.0,1.0,3.0,1.0,99.0,4.0,5.0,1.0,,,,5.0,8.0,6.0,,,,,,2.0,3.0,7.0,1.0,1.0,19.0,98.0,6.0,8.0,0.7066019600384399,4.0,3.0,161171715.0
32.0,2.0,2.0,16.0,1.0,4.0,2.0,5.0,6.0,8.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,5.0,6.0,,,,,,1.0,6.0,2.0,,,,,,3.0,2.0,9.0,1.0,1.0,1.0,4.0,3.0,1.0,0.22879953264065156,4.0,3.0,161172696.0
57.0,4.0,1.0,14.0,2.0,4.0,2.0,4.0,5.0,7.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,,,,,4.0,6.0,8.0,1.0,3.0,,,,2.0,3.0,5.0,1.0,2.0,1.0,4.0,4.0,3.0,0.6705372168743089,4.0,3.0,161172838.0
58.0,4.0,2.0,16.0,2.0,4.0,1.0,4.0,5.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,,,,,8.0,2.0,4.0,1.0,3.0,7.0,6.0,5.0,2.0,5.0,1.0,1.0,1.0,15.0,98.0,3.0,4.0,1.1668122931181584,4.0,3.0,161177751.0
58.0,4.0,1.0,15.0,2.0,4.0,2.0,1.0,4.0,9.0,3.0,3.0,5.0,,2.0,1.0,1.0,1.0,2.0,2.0,99.0,1.0,4.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,4.0,,,,,8.0,6.0,,,,,,,1.0,4.0,2.0,1.0,1.0,1.0,99.0,99.0,8.0,0.3232221238273019,4.0,3.0,161182822.0
35.0,3.0,2.0,16.0,1.0,4.0,1.0,1.0,4.0,9.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,,,,,,3.0,5.0,6.0,,,,,,9.0,6.0,5.0,1.0,1.0,18.0,5.0,5.0,3.0,0.6065758638380376,4.0,3.0,161190283.0
46.0,4.0,2.0,16.0,1.0,4.0,2.0,6.0,8.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,4.0,1.0,,,,,,6.0,4.0,3.0,,,,,,2.0,3.0,5.0,1.0,1.0,16.0,4.0,4.0,4.0,0.983040543153189,4.0,3.0,161193279.0
42.0,3.0,2.0,14.0,2.0,4.0,1.0,5.0,8.0,9.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,7.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0,5.0,2.0,,,,3.0,2.0,5.0,,,,,,2.0,9.0,1.0,1.0,1.0,11.0,99.0,2.0,8.0,0.7247465175984042,4.0,3.0,161193456.0
32.0,2.0,2.0,16.0,1.0,4.0,2.0,4.0,8.0,9.0,1.0,98.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,98.0,,,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,6.0,8.0,3.0,5.0,2.0,1.0,7.0,4.0,2.0,5.0,6.0,1.0,1.0,1.0,3.0,3.0,1.0,0.22879953264065156,4.0,3.0,161196495.0
56.0,4.0,2.0,12.0,1.0,4.0,1.0,1.0,6.0,9.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,2.0,6.0,5.0,2.0,6.0,,,,6.0,1.0,8.0,,,,,,9.0,8.0,2.0,1.0,3.0,15.0,5.0,4.0,7.0,1.7764779958299663,4.0,3.0,161199358.0
40.0,3.0,1.0,15.0,1.0,4.0,1.0,1.0,3.0,5.0,1.0,4.0,6.0,,1.0,1.0,1.0,99.0,1.0,99.0,2.0,4.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,3.0,8.0,,,,,,,9.0,7.0,8.0,1.0,1.0,10.0,4.0,99.0,4.0,1.2926205172055545,4.0,3.0,161201148.0
43.0,3.0,1.0,14.0,1.0,4.0,1.0,2.0,5.0,7.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,4.0,99.0,1.0,3.0,3.0,4.0,5.0,2.0,1.0,,6.0,8.0,4.0,3.0,1.0,2.0,,,7.0,5.0,2.0,1.0,1.0,19.0,4.0,3.0,1.0,0.3308853395324916,4.0,3.0,161201796.0
51.0,4.0,2.0,14.0,2.0,4.0,1.0,1.0,5.0,9.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,,,,,8.0,6.0,1.0,,,,,,2.0,3.0,9.0,1.0,3.0,1.0,5.0,5.0,3.0,0.7003644038994481,4.0,3.0,161203219.0
36.0,3.0,1.0,16.0,1.0,4.0,1.0,5.0,7.0,9.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,1.0,2.0,3.0,6.0,1.0,3.0,8.0,6.0,4.0,,,,2.0,9.0,6.0,1.0,3.0,1.0,5.0,4.0,7.0,1.718767288536458,4.0,3.0,161217036.0
35.0,3.0,2.0,14.0,1.0,4.0,1.0,1.0,5.0,6.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,7.0,,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,1.0,5.0,2.0,,,,,,2.0,5.0,1.0,1.0,3.0,1.0,99.0,99.0,3.0,0.4474310151726325,4.0,3.0,161219875.0
