IDADE,FX_ID,SEXO,p1,p2,p4,p5,p6,p8,p9a,p9b,p9c,p9d,p10,p11,p12,p13,p14,p15,ESCOLA,RENDAF,nquest
62.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,115.0
43.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,116.0
17.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,5.0,72.0
60.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0,5.0,169.0
51.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,6.0,1.0,3.0,117.0
19.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,6.0,1.0,3.0,118.0
37.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,119.0
40.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,170.0
57.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,6.0,120.0
29.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,9.0,2.0,5.0,73.0
16.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,121.0
26.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,122.0
47.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,123.0
66.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,74.0
23.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,6.0,2.0,6.0,171.0
16.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,1.0,4.0,124.0
