DS_OCUPACAO,Percentage
ESTOFADOR,0.0084364089451893
"LAVANDEIRO, TINTUREIRO E ASSEMELHADOS",0.007787454410943969
OFFICE-BOY E CONTÍNUO,0.007571136232862192
MAQUINISTA E FOGUISTA DE EMBARCAÇÕES E ASSEMELHADOS,0.007571136232862192
COREÓGRAFO E BAILARINO,0.007571136232862192
SALVA-VIDAS,0.007354818054780416
"TRABALHADOR DE MINAS E PEDREIRAS, SONDADOR E ASSEMELHADOS",0.007138499876698639
TRABALHADOR DE USINAGEM DE METAIS,0.006705863520535085
MODELO,0.006489545342453307
SECURITÁRIO,0.006489545342453307
TABELIÃO,0.0060569089862897545
OPERADOR DE INSTALAÇÃO DE PRODUÇÃO DE ENERGIA ELÉTRICA E NUCLEAR,0.005840590808207977
"ESTIVADOR, CARREGADOR, EMBALADOR E ASSEMELHADOS",0.0056242726301262
AGENTE DE VIAGEM E GUIA DE TURISMO,0.0056242726301262
"PILOTO DE AVIAÇÃO COMERCIAL, NAVEGADOR, MECÂNICO DE VÔO E ASSEMELHADOS",0.005407954452044423
FERROVIÁRIO,0.004758999917799093
"TRADUTOR, INTÉRPRETE E FILÓLOGO",0.004542681739717316
TÉCNICO TÊXTIL,0.004326363561635538
OCEANÓGRAFO,0.0038937272054719845
"LEILOEIRO, AVALIADOR E ASSEMELHADOS",0.0038937272054719845
TRABALHADOR DE FABRICAÇÃO DE PRODUTOS DE BORRACHA E PLÁSTICO,0.003677409027390208
ARTISTA DE CIRCO,0.003677409027390208
CARVOEIRO,0.0032447726712266536
GEÓLOGO,0.0032447726712266536
"TRABALHADOR DE FABRICAÇÃO, VULCANIZAÇÃO E REPARAÇÃO DE PNEUMÁTICOS",0.0032447726712266536
BIÓLOGO E BIOMÉDICO,0.0032447726712266536
FISCAL DE TRANSPORTE COLETIVO,0.0030284544931448772
RELOJOEIRO E MONTADOR DE INSTRUMENTO DE PRECISÃO,0.0030284544931448772
"FIANDEIRO, TECELÃO, TINGIDOR E ASSEMELHADOS",0.0030284544931448772
"CORTADOR, POLIDOR E GRAVADOR DE PEDRAS",0.0030284544931448772
OPERADOR DE EQUIPAMENTO MÉDICO E ODONTOLÓGICO,0.0028121363150631
JORNALEIRO,0.0028121363150631
JOALHEIRO E OURIVES,0.0028121363150631
GOVERNANTA,0.0028121363150631
CAPITALISTA DE ATIVOS FINANCEIROS,0.002595818136981323
ANTROPÓLOGO,0.002595818136981323
TRABALHADOR DE FABRICAÇÃO DE PAPEL E PAPELÃO,0.002595818136981323
PETROLEIRO,0.002595818136981323
MATEMÁTICO E ATUÁRIO,0.002595818136981323
ARQUIVISTA E MUSEÓLOGO,0.0023794999588995463
TÉCNICO DE BIOLOGIA,0.002163181780817769
TRABALHADOR EM ATIVIDADE DE PROCESSAMENTO QUÍMICO,0.002163181780817769
ECONOMISTA DOMÉSTICO,0.0019468636027359923
DEMONSTRADOR,0.0019468636027359923
MAGISTRADO,0.0017305454246542152
COMANDANTE DE EMBARCAÇÕES,0.0017305454246542152
SERVIDOR DA JUSTIÇA ELEITORAL,0.0015142272465724386
ENGRAXATE,0.0012979090684906616
COMISSÁRIO DE BORDO,0.0012979090684906616
MINISTRO DE ESTADO,0.0012979090684906616
PARAMÉDICO,0.0012979090684906616
MESTRE E CONTRAMESTRE DE EMBARCAÇÃO,0.0012979090684906616
DETETIVE PARTICULAR,0.0010815908904088845
FÍSICO,0.0010815908904088845
GUARDADOR DE VEÍCULOS,0.0010815908904088845
ASTRÓLOGO,0.0008652727123271076
CHAPELEIRO,0.0008652727123271076
"PRESIDENTE DA REPÚBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO",0.0008652727123271076
SENADOR,0.0008652727123271076
ESTATÍSTICO,0.0006489545342453308
"BIBLIOTECÁRIO, ARQUIVISTA, MUSEÓLOGO E ARQUEÓLOGO",0.0006489545342453308
ARQUEÓLOGO,0.0004326363561635538
TRABALHADOR DE CURTIMENTO,0.0004326363561635538
GEOFÍSICO,0.0004326363561635538
BACTERIOLOGISTA E ASSEMELHADOS,0.0004326363561635538
MEMBRO DO MINISTÉRIO PÚBLICO,0.0004326363561635538
METEOROLOGISTA,0.0004326363561635538
TRABALHADOR DE TRATAMENTO DE FUMO E DE FABRICAÇÃO DE CIGARROS/CHARUTOS,0.0004326363561635538
CONTROLADOR DE TRÁFEGO AÉREO,0.0002163181780817769
