categoria,indice,wave,n,cronbach_alpha,ordinal_alpha,pearson_corr,spearman_corr,kendall_corr,polychoric_corr
Católicos,Religiosidade Institucional,wave-3-1997-br,145,0.02566137119511147,0.7474105415325731,0.0766853317794183,0.0819624084161896,0.08022165248679504,0.5966923451894989
Católicos,Religiosidade Institucional,wave-5-2006-br,332,-0.013072465031156,-0.6850011858455819,-0.026473696357391788,-0.08195876064322803,-0.08028917379240959,-0.2551213718104396
Católicos,Religiosidade Institucional,wave-6-2014-br,1166,-0.027209594088757783,0.005006495025681708,-0.013890203244523043,0.003627650936566768,0.0032492930291042102,0.002509529486285805
Católicos,Religiosidade Institucional,wave-7-2018-br,786,-0.1660115167147369,-0.3755047843517436,-0.07698791346991508,-0.10671747781461362,-0.09678445746732314,-0.15807368051848228
Católicos,Religiosidade Institucional,Todas as ondas,3668,-0.11752682478718812,-0.2578543612740152,-0.05808048465640459,-0.05744254017693777,-0.05451033291430959,-0.11420327444349354
Outras,Religiosidade Subjetiva,wave-2-1991-br,458,-0.28011665717272294,-0.5333681893457424,-0.14809783564660295,-0.1516068072563577,-0.14386222196687506,-0.2105371779707583
Outras,Religiosidade Subjetiva,wave-3-1997-br,727,0.07468882470702254,0.24946356644039633,0.04750739035349408,0.03971338843349349,0.03781327232563431,0.142506926252959
Outras,Religiosidade Subjetiva,wave-5-2006-br,744,0.049415812403644566,0.09457251259314285,0.035709589650982164,0.030381682920213884,0.029306834636424372,0.04963322572922933
Outras,Religiosidade Subjetiva,wave-6-2014-br,35,-0.29254545424995415,-0.46905364211612144,-0.20088359907887274,-0.22156468376279892,-0.2168692188036747,-0.18997304639931412
Outras,Religiosidade Subjetiva,wave-7-2018-br,403,-0.15406791096400596,-0.23250153622297942,-0.10414508132390653,-0.1041450813239065,-0.10414508132390653,-0.1041439535205576
Outras,Religiosidade Subjetiva,Todas as ondas,2367,-0.3072320868273928,-0.6141467830583651,-0.1704383045156825,-0.17941931426480565,-0.17056706142448713,-0.23493201951722745
Outras,Religiosidade Institucional,wave-2-1991-br,477,-0.06476937537790173,-0.13742476705784643,-0.06429580560798807,-0.0642958056079881,-0.06429580560798809,-0.06429455163795578
Outras,Religiosidade Institucional,wave-3-1997-br,725,-0.023138564089140612,-0.12406807135666809,-0.03181706250266202,-0.03125425977973058,-0.030164183088074586,-0.05841059099270032
Outras,Religiosidade Institucional,wave-5-2006-br,753,0.002324797929583955,0.019807897587649816,0.002977713799733321,0.004513360922988358,0.004364022153437942,0.010003018173599953
Outras,Religiosidade Institucional,wave-6-2014-br,22,0.1439340454121023,-0.07721776987955072,0.0859243513360282,0.0014490014748813917,0.0,-0.03717365169855455
Outras,Religiosidade Institucional,wave-7-2018-br,345,0.0858286122618257,0.1465684130180918,0.046024267788812655,0.047706548683548844,0.04274919724779271,0.0790794837249757
Outras,Religiosidade Institucional,Todas as ondas,2322,0.07036424124386542,0.11916568811278994,0.040666635760642104,0.03435629773448076,0.03252427008932314,0.06335788716722224
